34.227.110.80 - - [04/Apr/2026:02:52:49 +0000] "GET / HTTP/1.1" 504 176 "-" "curl/8.5.0"
147.182.149.75 - - [04/Apr/2026:03:00:57 +0000] "GET /actuator/env HTTP/1.1" 404 2779 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
147.182.149.75 - - [04/Apr/2026:03:00:59 +0000] "GET /swagger-ui.html HTTP/1.1" 404 2779 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
147.182.149.75 - - [04/Apr/2026:03:01:00 +0000] "GET /swagger/index.html HTTP/1.1" 404 2779 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
34.123.170.104 - - [04/Apr/2026:03:01:00 +0000] "GET /ximples-logo.png HTTP/1.1" 200 168332 "https://app.ximples.com.br/login" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
147.182.149.75 - - [04/Apr/2026:03:01:01 +0000] "GET /swagger/swagger-ui.html HTTP/1.1" 404 2779 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
147.182.149.75 - - [04/Apr/2026:03:01:02 +0000] "GET /webjars/swagger-ui/index.html HTTP/1.1" 404 2779 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
147.182.149.75 - - [04/Apr/2026:03:01:03 +0000] "GET /swagger.json HTTP/1.1" 404 2779 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
147.182.149.75 - - [04/Apr/2026:03:01:04 +0000] "GET /swagger/v1/swagger.json HTTP/1.1" 404 2779 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
147.182.149.75 - - [04/Apr/2026:03:01:05 +0000] "GET /v2/api-docs HTTP/1.1" 404 2779 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
147.182.149.75 - - [04/Apr/2026:03:01:06 +0000] "GET /v3/api-docs HTTP/1.1" 404 2779 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
147.182.149.75 - - [04/Apr/2026:03:01:07 +0000] "GET /api-docs/swagger.json HTTP/1.1" 404 2779 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
147.182.149.75 - - [04/Apr/2026:03:01:08 +0000] "GET /api/swagger.json HTTP/1.1" 404 2779 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
147.182.149.75 - - [04/Apr/2026:03:01:09 +0000] "GET /trace.axd HTTP/1.1" 404 2779 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
